Date,Revenue,Cost_of_Goods_Sold,Operating_Expenses,Marketing_Spend,Net_Profit,Cash_on_Hand,Operating_Cash_Flow,Litres_Sold,Price_per_Litre
01/01/2023,7828674.95,5652398.62,511876.4,65811.01,1598588.91,469957.36,1715463.83,921958,8.49
01/02/2023,7690560.99,5938142.09,483229.03,31235.07,1237954.8,1715152.49,1433441.28,887498,8.67
01/03/2023,6947892.99,5016438.08,321696.9,61485.39,1548272.63,795089.54,1663064.38,999041,6.95
01/04/2023,7175142.47,5062779.66,589502.21,43966.28,1478894.32,1351256.22,1542485.28,956730,7.5
01/05/2023,10835379.24,8355049.85,218580.17,66452.69,2195296.53,410587.71,2270875.15,1391723,7.79
01/06/2023,12982054.31,9964954.61,354166.6,30957.98,2631975.13,709743.29,2716609.2,1465987,8.86
01/07/2023,10063667.97,7642563.1,213755.41,84559.22,2122790.24,1426287.88,2211607.24,1478843,6.81
01/08/2023,9826443.63,7523176.67,273941.78,88175.08,1941150.1,1897148.2,2107420.02,1259773,7.8
01/09/2023,9020884.8,7101895.78,330616.31,64226.64,1524146.07,1933992.44,1652271.21,1023165,8.82
01/10/2023,7627732.07,5587785.77,531495,51405.2,1457046.09,1222583.34,1549186.27,1020884,7.47
01/11/2023,7505576.94,5402754.7,206254.56,55404.09,1841163.58,798929.9,1950395.81,1036584,7.24
01/12/2023,6551600.27,5145371.56,516070.22,66357.6,823800.89,1406830.94,1012746.02,936330,7
01/01/2024,9356556.37,7054226.73,238164.05,52249.1,2011916.5,1432068.01,2162242.69,1084806,8.63
01/02/2024,9030586.36,6929613.32,353170.75,88302.73,1659499.57,1526940.19,1836836.64,1256551,7.19
01/03/2024,11993007.92,9105756.88,409093.13,55652.46,2422505.44,483415.43,2476318.31,1423094,8.43
01/04/2024,6877493.49,5073683.19,403428.28,84453.99,1315928.04,997650.97,1403321.87,850015,8.09
01/05/2024,8546239.67,6596533.5,477913.97,82828.07,1388964.12,802577.27,1532617.23,964899,8.86
01/06/2024,7893719.52,6286879.1,274628.02,83553.54,1248658.86,1672648.26,1379560.19,909556,8.68
01/07/2024,8934841.13,7226672.96,308852.9,68861.41,1330453.86,899367.06,1380531.92,1208923,7.39
01/08/2024,7838388.14,5967283.97,366964.4,43326.47,1460813.3,873945.79,1528793.11,1202690,6.52
01/09/2024,6684301.71,4854485.52,423240.8,54230.17,1352345.22,731656.2,1412079.05,965838,6.92
01/10/2024,7231285.76,5493389.55,320351.32,47090.43,1370454.45,1336259.37,1425987.49,1014283,7.13
01/11/2024,9526411.83,6987028.4,563306.35,44373.71,1931703.36,1132069.69,2003437.6,1437147,6.63
01/12/2024,8159427.2,6291926.93,232341.33,52179.27,1582979.67,1665337.59,1669303.66,1035167,7.88
