transaction_id,customer_id,product_id,transaction_date,quantity,total_revenue,total_cost,region,payment_method
TRX000001,CUST0125,PROD0027,2024-03-31,3,2584.62,1331.31,Upper East,Mobile Money
TRX000002,CUST0113,PROD0038,2024-02-14,2,3486.44,1381.16,Northern,Mobile Money
TRX000003,CUST0156,PROD0018,2023-12-14,4,6205.68,2465.36,Upper East,Cash
TRX000004,CUST0180,PROD0026,2024-11-14,4,3981.52,1674.12,Upper East,Cash
TRX000005,CUST0115,PROD0024,2024-08-16,3,602.37,285.84,Northern,Bank Transfer
TRX000006,CUST0040,PROD0046,2025-01-29,5,1189.05,576.85,Upper West,Bank Transfer
TRX000007,CUST0022,PROD0044,2024-06-13,4,337.88,261.24,Upper West,Card
TRX000008,CUST0085,PROD0028,2025-08-02,3,3590.91,2105.82,Upper East,Card
TRX000009,CUST0118,PROD0032,2023-10-02,2,254.48,226.84,Upper East,Bank Transfer
TRX000010,CUST0082,PROD0042,2023-06-14,4,2527.52,1586.52,Western,Bank Transfer
TRX000011,CUST0176,PROD0046,2022-03-08,3,713.43,346.11,Northern,Mobile Money
TRX000012,CUST0108,PROD0018,2022-04-02,6,9308.52,3698.04,Upper East,Bank Transfer
TRX000013,CUST0063,PROD0048,2023-05-15,1,1300.17,717.95,Greater Accra,Bank Transfer
TRX000014,CUST0098,PROD0012,2025-08-13,5,9170.1,3880.4,Volta,Bank Transfer
TRX000015,CUST0031,PROD0006,2025-08-22,9,7659.18,4434.03,Eastern,Bank Transfer
TRX000016,CUST0141,PROD0023,2022-06-13,6,4876.44,2978.46,Eastern,Bank Transfer
TRX000017,CUST0068,PROD0035,2023-08-15,2,2348.6,1447.62,Upper East,Mobile Money
TRX000018,CUST0101,PROD0034,2025-01-12,2,1112.84,633.66,Volta,Mobile Money
TRX000019,CUST0195,PROD0006,2025-01-15,2,1702.04,985.34,Northern,Bank Transfer
TRX000020,CUST0188,PROD0026,2024-08-06,5,4976.9,2092.65,Eastern,Cash
TRX000021,CUST0122,PROD0030,2024-03-15,2,2458.2,1210.66,Volta,Bank Transfer
TRX000022,CUST0004,PROD0032,2024-05-07,4,508.96,453.68,Upper West,Mobile Money
TRX000023,CUST0135,PROD0032,2025-03-12,4,508.96,453.68,Western,Mobile Money
TRX000024,CUST0136,PROD0019,2024-12-05,3,3002.97,2041.41,Ashanti,Card
TRX000025,CUST0070,PROD0013,2022-04-07,3,3632.07,2014.41,Eastern,Bank Transfer
TRX000026,CUST0006,PROD0049,2023-05-08,4,2911.0,2142.84,Western,Bank Transfer
TRX000027,CUST0184,PROD0042,2025-08-03,3,1895.64,1189.89,Bono,Mobile Money
TRX000028,CUST0096,PROD0018,2023-12-18,4,6205.68,2465.36,Central,Mobile Money
TRX000029,CUST0038,PROD0022,2023-09-19,6,2361.78,1120.62,Volta,Bank Transfer
TRX000030,CUST0090,PROD0030,2025-04-30,4,4916.4,2421.32,Western,Bank Transfer
TRX000031,CUST0096,PROD0035,2023-06-27,6,7045.8,4342.86,Central,Cheque
TRX000032,CUST0179,PROD0002,2022-02-11,97,56518.02,24353.79,Upper East,Card
TRX000033,CUST0129,PROD0044,2022-11-11,6,506.82,391.86,Ashanti,Mobile Money
